description;date;time;duration_s;frequency;min;max;avg
balkon-24h-1m;20-11-2024;9:39:27;60;433920000;0.000828069;0.00323238;0.0012352
balkon-24h-1m;20-11-2024;9:40:42;60;433920000;0.000800415;0.00232204;0.00116486
balkon-24h-1m;20-11-2024;9:41:57;60;433920000;0.000790716;0.00225956;0.00113985
balkon-24h-1m;20-11-2024;9:43:12;60;433920000;0.000767279;0.0023989;0.00111608
balkon-24h-1m;20-11-2024;9:44:27;60;433920000;0.000758184;0.00214166;0.00103936
balkon-24h-1m;20-11-2024;9:45:42;60;433920000;0.000751512;0.00233771;0.00110193
balkon-24h-1m;20-11-2024;9:46:57;60;433920000;0.000741547;0.00212928;0.00105446
balkon-24h-1m;20-11-2024;9:48:12;60;433920000;0.000742355;0.00204435;0.00104526
balkon-24h-1m;20-11-2024;9:49:27;60;433920000;0.000734225;0.00218255;0.00106256
balkon-24h-1m;20-11-2024;9:50:42;60;433920000;0.000701388;0.00234246;0.00100484
balkon-24h-1m;20-11-2024;9:51:57;60;433920000;0.000719646;0.00207214;0.00100137
balkon-24h-1m;20-11-2024;9:53:12;60;433920000;0.000677946;0.00201798;0.00100098
balkon-24h-1m;20-11-2024;9:54:27;60;433920000;0.000681047;0.00185331;0.000978546
balkon-24h-1m;20-11-2024;9:55:42;60;433920000;0.000658415;0.00189765;0.00110451
balkon-24h-1m;20-11-2024;9:56:57;60;433920000;0.00071278;0.00196292;0.000970702
balkon-24h-1m;20-11-2024;9:58:12;60;433920000;0.000661143;0.0019106;0.0010055
balkon-24h-1m;20-11-2024;9:59:27;60;433920000;0.000708429;0.0020575;0.00100882
balkon-24h-1m;20-11-2024;10:0:42;60;433920000;0.000702862;0.00191839;0.000968878
balkon-24h-1m;20-11-2024;10:1:57;60;433920000;0.000692513;0.001947;0.000987715
balkon-24h-1m;20-11-2024;10:3:12;60;433920000;0.000704268;0.00190977;0.000992967
balkon-24h-1m;20-11-2024;10:4:27;60;433920000;0.000711971;0.00212377;0.000987425
balkon-24h-1m;20-11-2024;10:5:42;60;433920000;0.000683985;0.00190101;0.00096444
balkon-24h-1m;20-11-2024;10:6:57;60;433920000;0.000693347;0.0020525;0.000971205
balkon-24h-1m;20-11-2024;10:8:12;60;433920000;0.00066874;0.00186381;0.000952147
balkon-24h-1m;20-11-2024;10:9:27;60;433920000;0.0006656;0.00187641;0.000948115
balkon-24h-1m;20-11-2024;10:10:42;60;433920000;0.000676556;0.00192237;0.000973822
balkon-24h-1m;20-11-2024;10:11:58;60;433920000;0.000710326;0.00189772;0.000972991
balkon-24h-1m;20-11-2024;10:13:13;60;433920000;0.000723051;0.00196082;0.000995612
balkon-24h-1m;20-11-2024;10:14:28;60;433920000;0.000694876;0.00190694;0.000977997
