description;date;time;duration_s;frequnecy;min;max;avg
balkon-24h-1h;21-11-2024;22:7:10;60;433920000;0.000787805;0.00201097;0.00113791
balkon-24h-1h;21-11-2024;22:8:25;60;433920000;0.000764295;0.00211523;0.00111323
balkon-24h-1h;21-11-2024;22:9:40;60;433920000;0.000709313;0.00189173;0.000978468
balkon-24h-1h;21-11-2024;22:10:55;60;433920000;0.000697785;0.00194107;0.000965419
balkon-24h-1h;21-11-2024;22:12:10;60;433920000;0.00069884;0.00189169;0.000900481
balkon-24h-1h;21-11-2024;22:13:25;60;433920000;0.000686;0.00190114;0.000910689
balkon-24h-1h;21-11-2024;22:14:40;60;433920000;0.000617609;0.0015299;0.000816615
balkon-24h-1h;21-11-2024;22:15:55;60;433920000;0.000648487;0.00203196;0.000980327
balkon-24h-1h;21-11-2024;22:17:10;60;433920000;0.000677584;0.0021134;0.00105388
balkon-24h-1h;21-11-2024;22:18:25;60;433920000;0.000676164;0.00181199;0.000869128
balkon-24h-1h;21-11-2024;22:19:40;60;433920000;0.000599016;0.00183377;0.00084532
balkon-24h-1h;21-11-2024;22:20:55;60;433920000;0.000583681;0.00325771;0.000773582
balkon-24h-1h;21-11-2024;22:22:10;60;433920000;0.00062024;0.00177419;0.000825313
balkon-24h-1h;21-11-2024;22:23:25;60;433920000;0.000610513;0.00183499;0.000833335
balkon-24h-1h;21-11-2024;22:24:40;60;433920000;0.000601871;0.0059276;0.000938052
balkon-24h-1h;21-11-2024;22:25:55;60;433920000;0.000615925;0.00172332;0.00082869
balkon-24h-1h;21-11-2024;22:27:10;60;433920000;0.000611782;0.00171082;0.000817329
balkon-24h-1h;21-11-2024;22:28:25;60;433920000;0.000601185;0.00186987;0.000812554
balkon-24h-1h;21-11-2024;22:29:40;60;433920000;0.000608204;0.00185464;0.000828333
balkon-24h-1h;21-11-2024;22:30:55;60;433920000;0.000619614;0.00187479;0.000847529
balkon-24h-1h;21-11-2024;22:32:10;60;433920000;0.000604505;0.00183153;0.000830048
balkon-24h-1h;21-11-2024;22:33:25;60;433920000;0.000598067;0.00201188;0.000811823
balkon-24h-1h;21-11-2024;22:34:40;60;433920000;0.000596397;0.00192176;0.000830207
balkon-24h-1h;21-11-2024;22:35:55;60;433920000;0.000559336;0.00187621;0.000805392
balkon-24h-1h;21-11-2024;22:37:10;60;433920000;0.000635261;0.00189527;0.000827446
balkon-24h-1h;21-11-2024;22:38:25;60;433920000;0.000613796;0.00182928;0.00082647
balkon-24h-1h;21-11-2024;22:39:40;60;433920000;0.000567401;0.00165049;0.000784446
balkon-24h-1h;21-11-2024;22:40:55;60;433920000;0.000588076;0.00192143;0.000828585
