description;date;time;duration_s;frequency;min;max;avg
balkon-24h-v2;7-12-2024;3:34:43;60;869000000;5.37292e-06;0.000517375;5.70035e-06
balkon-24h-v2;7-12-2024;3:35:58;60;869000000;5.31792e-06;0.000719494;5.69161e-06
balkon-24h-v2;7-12-2024;3:37:13;60;869000000;5.26289e-06;0.000754942;5.67297e-06
balkon-24h-v2;7-12-2024;3:38:28;60;869000000;5.25815e-06;1.59669e-05;5.36244e-06
balkon-24h-v2;7-12-2024;3:39:43;60;869000000;5.25651e-06;2.43032e-05;5.3657e-06
balkon-24h-v2;7-12-2024;3:40:58;60;869000000;5.22899e-06;3.81192e-05;5.34367e-06
balkon-24h-v2;7-12-2024;3:42:13;60;869000000;5.20918e-06;0.00076731;5.60065e-06
balkon-24h-v2;7-12-2024;3:43:28;60;869000000;5.19591e-06;0.00196747;6.01306e-06
balkon-24h-v2;7-12-2024;3:44:43;60;869000000;5.19366e-06;0.00209395;6.05361e-06
balkon-24h-v2;7-12-2024;3:45:58;60;869000000;5.18167e-06;0.000506545;5.46994e-06
balkon-24h-v2;7-12-2024;3:47:13;60;869000000;5.17818e-06;0.000624177;5.50792e-06
balkon-24h-v2;7-12-2024;3:48:28;60;869000000;5.14695e-06;0.000191383;5.33519e-06
balkon-24h-v2;7-12-2024;3:49:43;60;869000000;5.18145e-06;0.00201205;6.00905e-06
balkon-24h-v2;7-12-2024;3:50:58;60;869000000;5.14476e-06;0.00197468;5.98696e-06
balkon-24h-v2;7-12-2024;3:52:13;60;869000000;5.17155e-06;0.000487474;5.4485e-06
balkon-24h-v2;7-12-2024;3:53:28;60;869000000;5.15504e-06;0.000443971;5.41877e-06
balkon-24h-v2;7-12-2024;3:54:43;60;869000000;5.09873e-06;5.46286e-06;5.25236e-06
balkon-24h-v2;7-12-2024;3:55:58;60;869000000;5.14777e-06;0.000474488;5.42676e-06
balkon-24h-v2;7-12-2024;3:57:13;60;869000000;5.1673e-06;5.42446e-06;5.25742e-06
balkon-24h-v2;7-12-2024;3:58:28;60;869000000;5.16474e-06;5.45811e-06;5.26e-06
balkon-24h-v2;7-12-2024;3:59:43;60;869000000;5.15348e-06;5.47072e-06;5.26277e-06
balkon-24h-v2;7-12-2024;4:0:58;60;869000000;5.14819e-06;5.47001e-06;5.25463e-06
balkon-24h-v2;7-12-2024;4:2:13;60;869000000;5.09602e-06;5.45087e-06;5.25243e-06
balkon-24h-v2;7-12-2024;4:3:28;60;869000000;5.16336e-06;5.45869e-06;5.26581e-06
balkon-24h-v2;7-12-2024;4:4:43;60;869000000;5.15391e-06;5.45778e-06;5.26056e-06
balkon-24h-v2;7-12-2024;4:5:58;60;869000000;5.16668e-06;5.45342e-06;5.26998e-06
balkon-24h-v2;7-12-2024;4:7:13;60;869000000;5.1498e-06;5.43565e-06;5.26416e-06
balkon-24h-v2;7-12-2024;4:8:28;60;869000000;5.16016e-06;5.46311e-06;5.26417e-06
balkon-24h-v2;7-12-2024;4:9:43;60;869000000;5.1698e-06;5.45404e-06;5.26749e-06
balkon-24h-v2;7-12-2024;4:10:58;60;869000000;5.17338e-06;5.45119e-06;5.27615e-06
balkon-24h-v2;7-12-2024;4:12:13;60;869000000;5.15491e-06;0.000588729;5.47311e-06
balkon-24h-v2;7-12-2024;4:13:28;60;869000000;5.14865e-06;0.000604393;5.46417e-06
balkon-24h-v2;7-12-2024;4:14:43;60;869000000;5.15477e-06;0.000494047;5.42954e-06
balkon-24h-v2;7-12-2024;4:15:58;60;869000000;5.13509e-06;0.00169844;5.85889e-06
balkon-24h-v2;7-12-2024;4:17:13;60;869000000;5.14085e-06;0.000185266;5.30435e-06
balkon-24h-v2;7-12-2024;4:18:28;60;869000000;5.13852e-06;1.64558e-05;5.24535e-06
balkon-24h-v2;7-12-2024;4:19:43;60;869000000;5.14807e-06;3.59864e-05;5.26574e-06
balkon-24h-v2;7-12-2024;4:20:58;60;869000000;5.15741e-06;4.56718e-05;5.26717e-06
balkon-24h-v2;7-12-2024;4:22:13;60;869000000;5.10439e-06;7.30642e-05;5.25726e-06
balkon-24h-v2;7-12-2024;4:23:28;60;869000000;5.12569e-06;7.84991e-05;5.25706e-06
balkon-24h-v2;7-12-2024;4:24:43;60;869000000;5.13885e-06;9.75451e-05;5.27469e-06
balkon-24h-v2;7-12-2024;4:25:58;60;869000000;5.12317e-06;0.000120995;5.26771e-06
balkon-24h-v2;7-12-2024;4:27:13;60;869000000;5.13549e-06;0.000129891;5.28339e-06
balkon-24h-v2;7-12-2024;4:28:29;60;869000000;5.11457e-06;0.000140231;5.27622e-06
balkon-24h-v2;7-12-2024;4:29:44;60;869000000;5.09645e-06;0.000165003;5.28802e-06
balkon-24h-v2;7-12-2024;4:30:59;60;869000000;5.10346e-06;0.000624001;5.46263e-06
balkon-24h-v2;7-12-2024;4:32:14;60;869000000;5.11186e-06;0.00187806;5.91551e-06
balkon-24h-v2;7-12-2024;4:33:29;60;869000000;5.12192e-06;0.00201263;5.95985e-06
balkon-24h-v2;7-12-2024;4:34:44;60;869000000;5.12235e-06;0.00208176;5.98443e-06
balkon-24h-v2;7-12-2024;4:35:59;60;869000000;5.12195e-06;0.000381847;5.36466e-06
balkon-24h-v2;7-12-2024;4:37:14;60;869000000;5.11465e-06;0.00138199;5.72432e-06
balkon-24h-v2;7-12-2024;4:38:29;60;869000000;5.1242e-06;5.41845e-06;5.23136e-06
balkon-24h-v2;7-12-2024;4:39:44;60;869000000;5.13446e-06;0.000544609;5.42273e-06
balkon-24h-v2;7-12-2024;4:40:59;60;869000000;5.13273e-06;0.000659396;5.47193e-06
balkon-24h-v2;7-12-2024;4:42:14;60;869000000;5.13597e-06;0.000658659;5.48529e-06
balkon-24h-v2;7-12-2024;4:43:29;60;869000000;5.13537e-06;5.43198e-06;5.24179e-06
balkon-24h-v2;7-12-2024;4:44:44;60;869000000;5.13728e-06;5.43532e-06;5.23402e-06
balkon-24h-v2;7-12-2024;4:45:59;60;869000000;5.05405e-06;5.41905e-06;5.21526e-06
balkon-24h-v2;7-12-2024;4:47:14;60;869000000;5.09557e-06;5.39455e-06;5.21456e-06
balkon-24h-v2;7-12-2024;4:48:29;60;869000000;5.09791e-06;0.000585893;5.41849e-06
balkon-24h-v2;7-12-2024;4:49:44;60;869000000;5.0602e-06;9.41982e-05;5.24086e-06
balkon-24h-v2;7-12-2024;4:50:59;60;869000000;5.13212e-06;9.2325e-05;5.26071e-06
balkon-24h-v2;7-12-2024;4:52:14;60;869000000;5.15509e-06;0.000117591;5.28043e-06
balkon-24h-v2;7-12-2024;4:53:29;60;869000000;5.13962e-06;0.000129253;5.28722e-06
balkon-24h-v2;7-12-2024;4:54:44;60;869000000;5.13976e-06;0.000726955;5.50066e-06
balkon-24h-v2;7-12-2024;4:55:59;60;869000000;5.15421e-06;0.00193064;5.95029e-06
balkon-24h-v2;7-12-2024;4:57:14;60;869000000;5.1246e-06;0.0019872;5.9601e-06
balkon-24h-v2;7-12-2024;4:58:29;60;869000000;5.01791e-06;0.00185274;5.89527e-06
balkon-24h-v2;7-12-2024;4:59:44;60;869000000;5.11479e-06;0.00196134;5.93413e-06
balkon-24h-v2;7-12-2024;5:0:59;60;869000000;5.1116e-06;0.000430928;5.37903e-06
balkon-24h-v2;7-12-2024;5:2:14;60;869000000;5.12264e-06;0.000607719;5.43964e-06
balkon-24h-v2;7-12-2024;5:3:29;60;869000000;5.14674e-06;0.00151261;5.78887e-06
balkon-24h-v2;7-12-2024;5:4:44;60;869000000;5.13591e-06;0.000587398;5.44564e-06
balkon-24h-v2;7-12-2024;5:5:59;60;869000000;5.12984e-06;0.000753093;5.51036e-06
balkon-24h-v2;7-12-2024;5:7:14;60;869000000;5.10977e-06;0.000542233;5.43808e-06
balkon-24h-v2;7-12-2024;5:8:29;60;869000000;5.1645e-06;0.000528296;5.44712e-06
balkon-24h-v2;7-12-2024;5:9:44;60;869000000;5.15007e-06;5.42182e-06;5.24677e-06
balkon-24h-v2;7-12-2024;5:10:59;60;869000000;5.12047e-06;0.000509931;5.42849e-06
balkon-24h-v2;7-12-2024;5:12:14;60;869000000;5.06343e-06;0.000519346;5.4268e-06
balkon-24h-v2;7-12-2024;5:13:29;60;869000000;5.13894e-06;0.000490432;5.42002e-06
balkon-24h-v2;7-12-2024;5:14:44;60;869000000;5.13712e-06;0.00168826;5.86412e-06
balkon-24h-v2;7-12-2024;5:15:59;60;869000000;5.13552e-06;0.000772702;5.53669e-06
balkon-24h-v2;7-12-2024;5:17:14;60;869000000;5.13932e-06;0.000731324;5.51748e-06
balkon-24h-v2;7-12-2024;5:18:29;60;869000000;5.05072e-06;0.000472551;5.40501e-06
balkon-24h-v2;7-12-2024;5:19:44;60;869000000;5.13453e-06;0.000600241;5.46624e-06
balkon-24h-v2;7-12-2024;5:20:59;60;869000000;5.15092e-06;0.000579694;5.46244e-06
balkon-24h-v2;7-12-2024;5:22:14;60;869000000;5.06379e-06;0.000504417;5.40811e-06
balkon-24h-v2;7-12-2024;5:23:29;60;869000000;5.05459e-06;0.000605247;5.4477e-06
balkon-24h-v2;7-12-2024;5:24:44;60;869000000;5.10487e-06;0.00015923;5.28735e-06
balkon-24h-v2;7-12-2024;5:25:59;60;869000000;5.09366e-06;0.000625751;5.45144e-06
balkon-24h-v2;7-12-2024;5:27:14;60;869000000;5.11652e-06;0.00046796;5.39256e-06
balkon-24h-v2;7-12-2024;5:28:29;60;869000000;5.15524e-06;5.42993e-06;5.24476e-06
balkon-24h-v2;7-12-2024;5:29:44;60;869000000;5.11919e-06;0.00199329;5.95663e-06
balkon-24h-v2;7-12-2024;5:30:59;60;869000000;5.11127e-06;0.000448693;5.42871e-06
balkon-24h-v2;7-12-2024;5:32:14;60;869000000;5.04216e-06;5.45635e-06;5.2071e-06
balkon-24h-v2;7-12-2024;5:33:29;60;869000000;5.13295e-06;0.000620826;5.45834e-06
balkon-24h-v2;7-12-2024;5:34:44;60;869000000;5.13114e-06;5.42115e-06;5.24071e-06
balkon-24h-v2;7-12-2024;5:35:59;60;869000000;5.09518e-06;0.000506344;5.41507e-06
balkon-24h-v2;7-12-2024;5:37:14;60;869000000;5.03773e-06;0.000602551;5.41418e-06
balkon-24h-v2;7-12-2024;5:38:29;60;869000000;5.10721e-06;0.000603783;5.45864e-06
balkon-24h-v2;7-12-2024;5:39:44;60;869000000;5.13804e-06;0.00114383;5.64006e-06
balkon-24h-v2;7-12-2024;5:40:59;60;869000000;5.07584e-06;5.39398e-06;5.23753e-06
balkon-24h-v2;7-12-2024;5:42:14;60;869000000;5.13333e-06;5.42206e-06;5.2398e-06
balkon-24h-v2;7-12-2024;5:43:29;60;869000000;5.07127e-06;0.000520415;5.41475e-06
balkon-24h-v2;7-12-2024;5:44:44;60;869000000;5.12867e-06;5.41459e-06;5.23195e-06
balkon-24h-v2;7-12-2024;5:45:59;60;869000000;5.08053e-06;5.41117e-06;5.21623e-06
balkon-24h-v2;7-12-2024;5:47:14;60;869000000;5.11695e-06;5.42224e-06;5.22394e-06
balkon-24h-v2;7-12-2024;5:48:29;60;869000000;5.13891e-06;0.000664413;5.46533e-06
balkon-24h-v2;7-12-2024;5:49:44;60;869000000;5.11857e-06;6.69764e-05;5.24978e-06
balkon-24h-v2;7-12-2024;5:50:59;60;869000000;5.09243e-06;0.000706149;5.47563e-06
balkon-24h-v2;7-12-2024;5:52:14;60;869000000;5.13256e-06;0.000511125;5.42535e-06
balkon-24h-v2;7-12-2024;5:53:29;60;869000000;5.14919e-06;5.47121e-06;5.26722e-06
balkon-24h-v2;7-12-2024;5:54:44;60;869000000;5.10333e-06;5.43021e-06;5.23803e-06
balkon-24h-v2;7-12-2024;5:55:59;60;869000000;5.05859e-06;5.42348e-06;5.20397e-06
balkon-24h-v2;7-12-2024;5:57:14;60;869000000;5.11337e-06;0.000626201;5.45164e-06
balkon-24h-v2;7-12-2024;5:58:29;60;869000000;5.05456e-06;0.000616464;5.43331e-06
balkon-24h-v2;7-12-2024;5:59:44;60;869000000;5.16368e-06;0.00195244;5.9801e-06
balkon-24h-v2;7-12-2024;6:0:59;60;869000000;5.16616e-06;4.52299e-05;5.30093e-06
balkon-24h-v2;7-12-2024;6:2:14;60;869000000;5.17467e-06;5.87527e-05;5.29028e-06
balkon-24h-v2;7-12-2024;6:3:29;60;869000000;5.14599e-06;1.00194e-05;5.27043e-06
balkon-24h-v2;7-12-2024;6:4:44;60;869000000;5.14719e-06;1.0421e-05;5.26205e-06
balkon-24h-v2;7-12-2024;6:5:59;60;869000000;5.16373e-06;0.000603626;5.48357e-06
