description;date;time;duration_s;frequency;min;max;avg
balkon_869MHz_24hx1m;25-11-2024;0:25:32;60;869000000;5.03918e-06;0.00190324;5.81548e-06
balkon_869MHz_24hx1m;25-11-2024;0:26:47;60;869000000;5.06439e-06;5.41341e-06;5.19495e-06
balkon_869MHz_24hx1m;25-11-2024;0:28:2;60;869000000;5.0733e-06;0.000896452;5.53396e-06
balkon_869MHz_24hx1m;25-11-2024;0:29:17;60;869000000;5.0848e-06;0.000631944;5.43393e-06
balkon_869MHz_24hx1m;25-11-2024;0:30:32;60;869000000;5.09315e-06;5.46981e-06;5.213e-06
balkon_869MHz_24hx1m;25-11-2024;0:31:47;60;869000000;5.09785e-06;0.00103109;5.57724e-06
balkon_869MHz_24hx1m;25-11-2024;0:33:2;60;869000000;5.09613e-06;0.000343188;5.33058e-06
balkon_869MHz_24hx1m;25-11-2024;0:34:17;60;869000000;5.10224e-06;0.00218304;5.99471e-06
balkon_869MHz_24hx1m;25-11-2024;0:35:32;60;869000000;5.11063e-06;5.45839e-06;5.217e-06
balkon_869MHz_24hx1m;25-11-2024;0:36:47;60;869000000;5.09434e-06;0.000822887;5.52266e-06
balkon_869MHz_24hx1m;25-11-2024;0:38:2;60;869000000;5.10195e-06;5.46104e-06;5.21257e-06
balkon_869MHz_24hx1m;25-11-2024;0:39:17;60;869000000;5.12137e-06;5.4541e-06;5.2181e-06
balkon_869MHz_24hx1m;25-11-2024;0:40:32;60;869000000;5.08476e-06;5.46092e-06;5.21405e-06
balkon_869MHz_24hx1m;25-11-2024;0:41:47;60;869000000;5.09233e-06;0.000858374;5.51471e-06
balkon_869MHz_24hx1m;25-11-2024;0:43:2;60;869000000;5.0884e-06;5.42722e-06;5.20042e-06
balkon_869MHz_24hx1m;25-11-2024;0:44:17;60;869000000;5.11704e-06;0.00222892;6.03237e-06
balkon_869MHz_24hx1m;25-11-2024;0:45:32;60;869000000;5.09546e-06;0.000692931;5.45843e-06
balkon_869MHz_24hx1m;25-11-2024;0:46:47;60;869000000;5.08292e-06;5.47471e-06;5.1983e-06
balkon_869MHz_24hx1m;25-11-2024;0:48:2;60;869000000;5.09016e-06;8.60254e-05;5.2316e-06
balkon_869MHz_24hx1m;25-11-2024;0:49:17;60;869000000;5.10483e-06;0.00202339;5.93626e-06
balkon_869MHz_24hx1m;25-11-2024;0:50:32;60;869000000;5.07236e-06;0.000588597;5.38836e-06
balkon_869MHz_24hx1m;25-11-2024;0:51:47;60;869000000;5.09207e-06;0.000741263;5.46871e-06
balkon_869MHz_24hx1m;25-11-2024;0:53:2;60;869000000;5.08223e-06;5.4401e-06;5.1865e-06
balkon_869MHz_24hx1m;25-11-2024;0:54:17;60;869000000;5.0908e-06;0.000925709;5.5323e-06
balkon_869MHz_24hx1m;25-11-2024;0:55:32;60;869000000;5.08886e-06;5.4441e-06;5.19991e-06
balkon_869MHz_24hx1m;25-11-2024;0:56:47;60;869000000;5.0756e-06;0.000903461;5.51369e-06
balkon_869MHz_24hx1m;25-11-2024;0:58:2;60;869000000;5.07868e-06;0.0022063;5.98395e-06
balkon_869MHz_24hx1m;25-11-2024;0:59:17;60;869000000;5.07272e-06;5.41631e-06;5.18196e-06
balkon_869MHz_24hx1m;25-11-2024;1:0:32;60;869000000;5.09669e-06;5.4458e-06;5.20233e-06
balkon_869MHz_24hx1m;25-11-2024;1:1:47;60;869000000;5.08218e-06;0.000615341;5.42039e-06
balkon_869MHz_24hx1m;25-11-2024;1:3:2;60;869000000;5.08842e-06;5.45597e-06;5.19915e-06
balkon_869MHz_24hx1m;25-11-2024;1:4:17;60;869000000;5.06067e-06;0.000177728;5.25902e-06
balkon_869MHz_24hx1m;25-11-2024;1:5:32;60;869000000;5.06892e-06;0.00102819;5.60306e-06
balkon_869MHz_24hx1m;25-11-2024;1:6:47;60;869000000;5.04468e-06;0.000564674;5.36626e-06
balkon_869MHz_24hx1m;25-11-2024;1:8:2;60;869000000;5.06441e-06;5.42193e-06;5.17005e-06
balkon_869MHz_24hx1m;25-11-2024;1:9:17;60;869000000;5.08249e-06;0.000207262;5.26086e-06
balkon_869MHz_24hx1m;25-11-2024;1:10:32;60;869000000;5.06687e-06;5.40621e-06;5.18216e-06
balkon_869MHz_24hx1m;25-11-2024;1:11:47;60;869000000;5.0865e-06;5.41073e-06;5.19146e-06
balkon_869MHz_24hx1m;25-11-2024;1:13:2;60;869000000;5.09729e-06;0.000695701;5.438e-06
balkon_869MHz_24hx1m;25-11-2024;1:14:17;60;869000000;5.08628e-06;0.00078026;5.47458e-06
balkon_869MHz_24hx1m;25-11-2024;1:15:32;60;869000000;5.06018e-06;5.42022e-06;5.17802e-06
balkon_869MHz_24hx1m;25-11-2024;1:16:47;60;869000000;5.06096e-06;9.89058e-05;5.20536e-06
balkon_869MHz_24hx1m;25-11-2024;1:18:2;60;869000000;5.08332e-06;0.000614305;5.40656e-06
balkon_869MHz_24hx1m;25-11-2024;1:19:17;60;869000000;5.03625e-06;0.000843299;5.47569e-06
balkon_869MHz_24hx1m;25-11-2024;1:20:32;60;869000000;5.06626e-06;5.40294e-06;5.16513e-06
balkon_869MHz_24hx1m;25-11-2024;1:21:47;60;869000000;5.06869e-06;5.43095e-06;5.17664e-06
balkon_869MHz_24hx1m;25-11-2024;1:23:2;60;869000000;5.07166e-06;5.44577e-06;5.16709e-06
balkon_869MHz_24hx1m;25-11-2024;1:24:17;60;869000000;5.08155e-06;0.00072722;5.44121e-06
balkon_869MHz_24hx1m;25-11-2024;1:25:32;60;869000000;5.10472e-06;0.000685653;5.43529e-06
balkon_869MHz_24hx1m;25-11-2024;1:26:47;60;869000000;5.05523e-06;0.000576062;5.3853e-06
balkon_869MHz_24hx1m;25-11-2024;1:28:2;60;869000000;5.06569e-06;0.000159172;5.22663e-06
balkon_869MHz_24hx1m;25-11-2024;1:29:17;60;869000000;5.07542e-06;0.000761959;5.45392e-06
balkon_869MHz_24hx1m;25-11-2024;1:30:32;60;869000000;5.06825e-06;0.000136871;5.21896e-06
balkon_869MHz_24hx1m;25-11-2024;1:31:47;60;869000000;5.07351e-06;0.000809363;5.46913e-06
balkon_869MHz_24hx1m;25-11-2024;1:33:2;60;869000000;5.06386e-06;0.000801839;5.46918e-06
balkon_869MHz_24hx1m;25-11-2024;1:34:17;60;869000000;5.07913e-06;5.40308e-06;5.18353e-06
balkon_869MHz_24hx1m;25-11-2024;1:35:32;60;869000000;5.05443e-06;5.47086e-06;5.17806e-06
balkon_869MHz_24hx1m;25-11-2024;1:36:47;60;869000000;5.06001e-06;0.00211734;5.93291e-06
balkon_869MHz_24hx1m;25-11-2024;1:38:2;60;869000000;5.05362e-06;5.41171e-06;5.16231e-06
balkon_869MHz_24hx1m;25-11-2024;1:39:17;60;869000000;5.05787e-06;5.3916e-06;5.16603e-06
balkon_869MHz_24hx1m;25-11-2024;1:40:32;60;869000000;5.07334e-06;5.40673e-06;5.17163e-06
balkon_869MHz_24hx1m;25-11-2024;1:41:47;60;869000000;5.05961e-06;0.00221001;5.97297e-06
balkon_869MHz_24hx1m;25-11-2024;1:43:2;60;869000000;5.06031e-06;0.000950896;5.51447e-06
balkon_869MHz_24hx1m;25-11-2024;1:44:17;60;869000000;5.08511e-06;5.43333e-06;5.18227e-06
balkon_869MHz_24hx1m;25-11-2024;1:45:32;60;869000000;5.06215e-06;0.000608393;5.39812e-06
balkon_869MHz_24hx1m;25-11-2024;1:46:47;60;869000000;5.07944e-06;0.000612245;5.39771e-06
balkon_869MHz_24hx1m;25-11-2024;1:48:2;60;869000000;5.05944e-06;5.44062e-06;5.17684e-06
balkon_869MHz_24hx1m;25-11-2024;1:49:17;60;869000000;5.06684e-06;0.00108417;5.55567e-06
balkon_869MHz_24hx1m;25-11-2024;1:50:32;60;869000000;5.08263e-06;0.000801163;5.46515e-06
balkon_869MHz_24hx1m;25-11-2024;1:51:47;60;869000000;5.08663e-06;1.29282e-05;5.18307e-06
balkon_869MHz_24hx1m;25-11-2024;1:53:2;60;869000000;5.05146e-06;0.000621653;5.38265e-06
balkon_869MHz_24hx1m;25-11-2024;1:54:17;60;869000000;5.06418e-06;5.39331e-06;5.16383e-06
balkon_869MHz_24hx1m;25-11-2024;1:55:32;60;869000000;5.08049e-06;5.39434e-06;5.16806e-06
balkon_869MHz_24hx1m;25-11-2024;1:56:47;60;869000000;5.06313e-06;0.000991197;5.52538e-06
balkon_869MHz_24hx1m;25-11-2024;1:58:2;60;869000000;5.05983e-06;0.000933026;5.50286e-06
balkon_869MHz_24hx1m;25-11-2024;1:59:17;60;869000000;5.04323e-06;0.000601975;5.37354e-06
balkon_869MHz_24hx1m;25-11-2024;2:0:33;60;869000000;5.00383e-06;5.41264e-06;5.14555e-06
balkon_869MHz_24hx1m;25-11-2024;2:1:48;60;869000000;5.08376e-06;0.000714237;5.44557e-06
balkon_869MHz_24hx1m;25-11-2024;2:3:3;60;869000000;5.09196e-06;0.000569675;5.39258e-06
balkon_869MHz_24hx1m;25-11-2024;2:4:18;60;869000000;5.09397e-06;0.00064312;5.42825e-06
balkon_869MHz_24hx1m;25-11-2024;2:5:33;60;869000000;5.06751e-06;0.000916337;5.51325e-06
balkon_869MHz_24hx1m;25-11-2024;2:6:48;60;869000000;5.09236e-06;5.44041e-06;5.19504e-06
balkon_869MHz_24hx1m;25-11-2024;2:8:3;60;869000000;5.09478e-06;5.43615e-06;5.19022e-06
balkon_869MHz_24hx1m;25-11-2024;2:9:18;60;869000000;5.09004e-06;0.000761893;5.467e-06
balkon_869MHz_24hx1m;25-11-2024;2:10:33;60;869000000;5.09385e-06;5.4406e-06;5.19352e-06
balkon_869MHz_24hx1m;25-11-2024;2:11:48;60;869000000;5.08215e-06;5.40927e-06;5.19434e-06
balkon_869MHz_24hx1m;25-11-2024;2:13:3;60;869000000;5.10249e-06;5.42507e-06;5.20021e-06
balkon_869MHz_24hx1m;25-11-2024;2:14:18;60;869000000;5.09988e-06;5.43831e-06;5.19743e-06
balkon_869MHz_24hx1m;25-11-2024;2:15:33;60;869000000;5.12058e-06;0.000830293;5.50955e-06
balkon_869MHz_24hx1m;25-11-2024;2:16:48;60;869000000;5.10965e-06;0.000958581;5.55528e-06
balkon_869MHz_24hx1m;25-11-2024;2:18:3;60;869000000;5.08405e-06;5.42152e-06;5.20092e-06
balkon_869MHz_24hx1m;25-11-2024;2:19:18;60;869000000;5.08462e-06;0.00021044;5.27034e-06
balkon_869MHz_24hx1m;25-11-2024;2:20:33;60;869000000;5.07689e-06;0.000577807;5.40376e-06
balkon_869MHz_24hx1m;25-11-2024;2:21:48;60;869000000;5.09428e-06;5.4454e-06;5.20391e-06
balkon_869MHz_24hx1m;25-11-2024;2:23:3;60;869000000;5.08274e-06;0.000801091;5.48052e-06
balkon_869MHz_24hx1m;25-11-2024;2:24:18;60;869000000;5.10183e-06;5.40116e-06;5.1935e-06
balkon_869MHz_24hx1m;25-11-2024;2:25:33;60;869000000;5.107e-06;5.45985e-06;5.19971e-06
balkon_869MHz_24hx1m;25-11-2024;2:26:48;60;869000000;5.09981e-06;5.4377e-06;5.19944e-06
balkon_869MHz_24hx1m;25-11-2024;2:28:3;60;869000000;5.09465e-06;0.000926866;5.53854e-06
balkon_869MHz_24hx1m;25-11-2024;2:29:18;60;869000000;5.09837e-06;5.43045e-06;5.19181e-06
balkon_869MHz_24hx1m;25-11-2024;2:30:33;60;869000000;5.07812e-06;9.04242e-06;5.19621e-06
balkon_869MHz_24hx1m;25-11-2024;2:31:48;60;869000000;5.09827e-06;0.000893021;5.52016e-06
balkon_869MHz_24hx1m;25-11-2024;2:33:3;60;869000000;5.07096e-06;0.000643328;5.41539e-06
balkon_869MHz_24hx1m;25-11-2024;2:34:18;60;869000000;5.06012e-06;5.41423e-06;5.17665e-06
balkon_869MHz_24hx1m;25-11-2024;2:35:33;60;869000000;5.07972e-06;5.43877e-06;5.21175e-06
balkon_869MHz_24hx1m;25-11-2024;2:36:48;60;869000000;5.05096e-06;5.39913e-06;5.17978e-06
balkon_869MHz_24hx1m;25-11-2024;2:38:3;60;869000000;5.07718e-06;5.38569e-06;5.17255e-06
balkon_869MHz_24hx1m;25-11-2024;2:39:18;60;869000000;5.05457e-06;5.40335e-06;5.16062e-06
balkon_869MHz_24hx1m;25-11-2024;2:40:33;60;869000000;5.07724e-06;5.41192e-06;5.17407e-06
balkon_869MHz_24hx1m;25-11-2024;2:41:48;60;869000000;5.06326e-06;5.38608e-06;5.16749e-06
balkon_869MHz_24hx1m;25-11-2024;2:43:3;60;869000000;5.08401e-06;0.00100557;5.54967e-06
balkon_869MHz_24hx1m;25-11-2024;2:44:18;60;869000000;5.0636e-06;5.39561e-06;5.17424e-06
balkon_869MHz_24hx1m;25-11-2024;2:45:33;60;869000000;5.04852e-06;0.000681655;5.43432e-06
balkon_869MHz_24hx1m;25-11-2024;2:46:48;60;869000000;5.09012e-06;0.00077042;5.47245e-06
balkon_869MHz_24hx1m;25-11-2024;2:48:3;60;869000000;5.08461e-06;5.46312e-06;5.19462e-06
balkon_869MHz_24hx1m;25-11-2024;2:49:18;60;869000000;5.09649e-06;0.000523973;5.38153e-06
balkon_869MHz_24hx1m;25-11-2024;2:50:33;60;869000000;5.0846e-06;0.000671476;5.45089e-06
balkon_869MHz_24hx1m;25-11-2024;2:51:48;60;869000000;5.08505e-06;5.45312e-06;5.18878e-06
balkon_869MHz_24hx1m;25-11-2024;2:53:3;60;869000000;5.08511e-06;3.4738e-05;5.2003e-06
balkon_869MHz_24hx1m;25-11-2024;2:54:18;60;869000000;5.11505e-06;0.00223274;6.02605e-06
balkon_869MHz_24hx1m;25-11-2024;2:55:33;60;869000000;5.05345e-06;0.000605567;5.39583e-06
balkon_869MHz_24hx1m;25-11-2024;2:56:48;60;869000000;5.06521e-06;5.39768e-06;5.16311e-06
balkon_869MHz_24hx1m;25-11-2024;2:58:3;60;869000000;5.04339e-06;0.000826331;5.45622e-06
balkon_869MHz_24hx1m;25-11-2024;2:59:18;60;869000000;5.07535e-06;0.000874167;5.50817e-06
balkon_869MHz_24hx1m;25-11-2024;3:0:33;60;869000000;5.08896e-06;0.000619601;5.42065e-06
balkon_869MHz_24hx1m;25-11-2024;3:1:48;60;869000000;5.09163e-06;0.000590786;5.412e-06
balkon_869MHz_24hx1m;25-11-2024;3:3:3;60;869000000;5.08183e-06;0.00070571;5.43939e-06
balkon_869MHz_24hx1m;25-11-2024;3:4:18;60;869000000;5.09182e-06;5.41362e-06;5.1858e-06
balkon_869MHz_24hx1m;25-11-2024;3:5:33;60;869000000;5.09285e-06;0.000941878;5.53332e-06
balkon_869MHz_24hx1m;25-11-2024;3:6:48;60;869000000;5.09627e-06;0.000298918;5.3034e-06
balkon_869MHz_24hx1m;25-11-2024;3:8:3;60;869000000;5.09737e-06;0.00205183;5.94223e-06
balkon_869MHz_24hx1m;25-11-2024;3:9:18;60;869000000;5.0945e-06;0.000569047;5.40193e-06
balkon_869MHz_24hx1m;25-11-2024;3:10:33;60;869000000;5.09328e-06;0.000629537;5.4158e-06
balkon_869MHz_24hx1m;25-11-2024;3:11:48;60;869000000;5.08978e-06;5.40317e-06;5.18857e-06
balkon_869MHz_24hx1m;25-11-2024;3:13:3;60;869000000;5.0778e-06;5.41806e-06;5.20376e-06
balkon_869MHz_24hx1m;25-11-2024;3:14:18;60;869000000;5.09991e-06;0.000789268;5.48893e-06
balkon_869MHz_24hx1m;25-11-2024;3:15:33;60;869000000;5.11155e-06;5.44028e-06;5.20821e-06
balkon_869MHz_24hx1m;25-11-2024;3:16:48;60;869000000;5.09525e-06;5.42819e-06;5.20205e-06
balkon_869MHz_24hx1m;25-11-2024;3:18:3;60;869000000;5.11438e-06;5.44396e-06;5.21943e-06
balkon_869MHz_24hx1m;25-11-2024;3:19:18;60;869000000;5.10291e-06;5.44497e-06;5.20935e-06
balkon_869MHz_24hx1m;25-11-2024;3:20:33;60;869000000;5.09257e-06;0.000789108;5.48245e-06
balkon_869MHz_24hx1m;25-11-2024;3:21:48;60;869000000;5.08946e-06;0.000812552;5.49507e-06
balkon_869MHz_24hx1m;25-11-2024;3:23:3;60;869000000;5.10758e-06;5.42806e-06;5.20412e-06
balkon_869MHz_24hx1m;25-11-2024;3:24:18;60;869000000;5.07724e-06;5.43394e-06;5.18609e-06
