description;date;time;duration_s;frequency;min;max;avg
0x0;29-11-2024;17:35:54;60;869000000;4.44597e-06;0.000671111;4.82895e-06
0x0;29-11-2024;17:37:9;60;869000000;4.44667e-06;0.00166661;5.13957e-06
0x1;29-11-2024;17:38:57;60;869000000;4.89605e-06;5.28488e-06;5.04503e-06
0x1;29-11-2024;17:40:12;60;869000000;4.87322e-06;1.11669e-05;4.9983e-06
0x2;29-11-2024;17:43:18;60;869000000;4.05937e-06;0.000276831;4.27168e-06
0x2;29-11-2024;17:44:33;60;869000000;4.0418e-06;0.000425997;4.29029e-06
0x3;29-11-2024;17:46:56;60;869000000;3.70529e-06;3.96987e-06;3.78861e-06
0x3;29-11-2024;17:48:11;60;869000000;3.66612e-06;0.000571759;3.9545e-06
1x0;29-11-2024;17:50:7;60;869000000;4.00423e-06;0.000675325;4.35968e-06
1x0;29-11-2024;17:51:22;60;869000000;3.92385e-06;0.000630366;4.27599e-06
1x1;29-11-2024;17:54:23;60;869000000;3.76752e-06;0.00142118;4.37812e-06
1x1;29-11-2024;17:55:38;60;869000000;3.72378e-06;4.00991e-06;3.81293e-06
1x2;29-11-2024;17:59:2;60;869000000;3.92923e-06;7.07922e-05;4.06528e-06
1x2;29-11-2024;18:0:17;60;869000000;3.88154e-06;4.18495e-06;3.98661e-06
1x3;29-11-2024;18:2:33;60;869000000;3.83748e-06;3.85197e-05;3.94629e-06
1x3;29-11-2024;18:3:48;60;869000000;3.79892e-06;0.000557008;4.08565e-06
2x0;29-11-2024;18:6:2;60;869000000;3.7887e-06;4.10285e-06;3.90443e-06
2x0;29-11-2024;18:7:17;60;869000000;3.75001e-06;4.04295e-06;3.84544e-06
2x1;29-11-2024;18:8:54;60;869000000;3.76742e-06;4.1019e-06;3.87148e-06
2x1;29-11-2024;18:10:9;60;869000000;3.73901e-06;4.05792e-06;3.82854e-06
2x2;29-11-2024;18:12:11;60;869000000;3.69926e-06;3.9939e-06;3.79776e-06
2x2;29-11-2024;18:13:26;60;869000000;3.67227e-06;3.96512e-06;3.76258e-06
2x3;29-11-2024;18:14:56;60;869000000;3.61038e-06;3.91743e-06;3.69913e-06
2x3;29-11-2024;18:16:11;60;869000000;3.5928e-06;4.43815e-06;3.67015e-06
3x0;29-11-2024;18:29:14;60;869000000;3.8799e-06;4.23917e-06;4.0112e-06
3x0;29-11-2024;18:30:29;60;869000000;3.85715e-06;0.00115591;4.35442e-06
3x1;29-11-2024;18:32:24;60;869000000;3.76391e-06;0.00063418;4.08706e-06
3x1;29-11-2024;18:33:39;60;869000000;3.72656e-06;0.00044956;3.97157e-06
3x2;29-11-2024;18:35:21;60;869000000;3.70985e-06;4.01844e-06;3.80897e-06
3x2;29-11-2024;18:36:36;60;869000000;3.68198e-06;1.0119e-05;3.76995e-06
3x3;29-11-2024;18:38:44;60;869000000;3.78056e-06;7.22809e-06;3.8816e-06
3x3;29-11-2024;18:39:59;60;869000000;3.73992e-06;4.99669e-05;3.8522e-06
4x0;29-11-2024;18:42:24;60;869000000;3.76576e-06;0.000519379;4.06929e-06
4x0;29-11-2024;18:43:39;60;869000000;3.73848e-06;0.000594077;4.04118e-06
4x1;29-11-2024;18:45:17;60;869000000;3.72902e-06;0.000473963;3.99928e-06
4x1;29-11-2024;18:46:32;60;869000000;3.70899e-06;0.000433248;3.95164e-06
4x2;29-11-2024;18:48:19;60;869000000;3.65699e-06;0.000599821;3.98057e-06
4x2;29-11-2024;18:49:34;60;869000000;3.63779e-06;0.000513486;3.91591e-06
5x0;29-11-2024;18:51:31;60;869000000;3.69977e-06;4.01546e-06;3.81418e-06
5x0;29-11-2024;18:52:46;60;869000000;3.6598e-06;4.01155e-06;3.77267e-06
5x1;29-11-2024;18:54:18;60;869000000;3.61836e-06;3.91165e-06;3.70784e-06
5x1;29-11-2024;18:55:33;60;869000000;3.60417e-06;0.000513449;3.87106e-06
5x2;29-11-2024;18:57:13;60;869000000;3.63997e-06;0.00116765;4.14592e-06
5x2;29-11-2024;18:58:28;60;869000000;3.60165e-06;3.94412e-06;3.69416e-06
