description;date;time;duration_s;frequency;min;max;avg
0x0;2-12-2024;19:35:26;120;869000000;4.43576e-06;0.00145731;4.83495e-06
0x1;2-12-2024;19:37:59;120;869000000;4.25628e-06;0.00131987;4.61277e-06
0x2;2-12-2024;19:40:41;120;869000000;4.56189e-06;4.96427e-06;4.70839e-06
0x3;2-12-2024;19:43:42;120;869000000;4.18919e-06;0.000126145;4.55806e-06
1x0;2-12-2024;19:47:22;120;869000000;3.93427e-06;4.37913e-06;4.10339e-06
1x1;2-12-2024;19:49:58;120;869000000;3.80236e-06;0.00111641;4.12304e-06
1x2;2-12-2024;19:52:53;120;869000000;4.06443e-06;0.00132044;4.41647e-06
1x3;2-12-2024;19:56:31;120;869000000;3.8373e-06;4.27788e-06;3.97462e-06
2x0;2-12-2024;19:59:48;120;869000000;3.78986e-06;0.00113832;4.13476e-06
2x1;2-12-2024;20:3:33;120;869000000;3.69698e-06;0.000941037;4.00903e-06
2x2;2-12-2024;20:6:15;120;869000000;3.59975e-06;0.000349675;3.76109e-06
2x3;2-12-2024;20:10:1;120;869000000;3.69379e-06;2.6854e-05;3.81981e-06
3x0;2-12-2024;20:12:56;120;869000000;3.69754e-06;0.00122505;4.0285e-06
3x1;2-12-2024;20:15:14;120;869000000;3.65696e-06;0.00160019;4.03541e-06
3x2;2-12-2024;20:17:48;120;869000000;3.60522e-06;0.00133813;3.9437e-06
3x3;2-12-2024;20:20:29;120;869000000;3.60306e-06;3.99797e-06;3.69402e-06
4x0;2-12-2024;20:24:41;120;869000000;3.80856e-06;0.0011749;4.15453e-06
4x1;2-12-2024;20:27:10;120;869000000;3.6622e-06;0.00132245;4.00361e-06
4x2;2-12-2024;20:29:57;120;869000000;3.65209e-06;0.000579701;3.85246e-06
5x0;2-12-2024;20:33:29;120;869000000;3.74168e-06;0.00159976;4.15413e-06
5x1;2-12-2024;20:36:1;120;869000000;3.80211e-06;0.000864277;4.0631e-06
5x2;2-12-2024;20:39:10;120;869000000;3.66493e-06;5.9183e-06;3.78105e-06
