description;date;time;duration_s;frequnecy;min;max;avg
0x0;27-11-2024;19:43:19;60;869000000;3.94768e-06;0.000511408;4.2329e-06
0x0;27-11-2024;19:44:34;60;869000000;3.90467e-06;0.000361723;4.12128e-06
0x1;27-11-2024;19:48:26;60;869000000;3.91536e-06;0.000780101;4.29457e-06
0x1;27-11-2024;19:49:41;60;869000000;3.86121e-06;4.13227e-06;3.95585e-06
0x2;27-11-2024;19:51:34;60;869000000;3.90311e-06;4.22612e-06;4.02474e-06
0x2;27-11-2024;19:52:49;60;869000000;3.88128e-06;4.17795e-06;3.97267e-06
0x3;27-11-2024;19:54:59;60;869000000;3.85724e-06;4.18113e-06;3.96948e-06
0x3;27-11-2024;19:56:14;60;869000000;3.83544e-06;0.000940432;4.26409e-06
0x4;27-11-2024;19:58:13;60;869000000;3.85794e-06;0.000231558;4.02076e-06
0x4;27-11-2024;19:59:28;60;869000000;3.81725e-06;4.09372e-06;3.90649e-06
1x0;27-11-2024;20:2:10;60;869000000;4.00579e-06;0.00117641;4.55281e-06
1x0;27-11-2024;20:3:25;60;869000000;3.96154e-06;4.25732e-06;4.05748e-06
1x1;27-11-2024;20:5:23;60;869000000;3.77711e-06;4.07603e-06;3.87558e-06
1x1;27-11-2024;20:6:38;60;869000000;3.74102e-06;9.01283e-05;3.85855e-06
1x2;27-11-2024;20:8:8;60;869000000;3.7725e-06;4.09605e-06;3.87566e-06
1x2;27-11-2024;20:9:23;60;869000000;3.73746e-06;0.000472649;4.00656e-06
1x3;27-11-2024;20:10:56;60;869000000;3.7666e-06;0.000809064;4.14762e-06
1x3;27-11-2024;20:12:11;60;869000000;3.75016e-06;0.000933809;4.16835e-06
1x4;27-11-2024;20:16:36;60;869000000;3.93099e-06;2.49384e-05;4.05403e-06
1x4;27-11-2024;20:17:51;60;869000000;3.90569e-06;0.000897151;4.31571e-06
2x0;27-11-2024;20:19:55;60;869000000;4.31635e-06;0.00195766;5.17611e-06
2x0;27-11-2024;20:21:10;60;869000000;4.20446e-06;0.00119565;4.80372e-06
2x1;27-11-2024;20:22:59;60;869000000;3.78887e-06;4.10155e-06;3.88902e-06
2x1;27-11-2024;20:24:14;60;869000000;3.75288e-06;0.000911778;4.16987e-06
2x2;27-11-2024;20:26:2;60;869000000;3.73095e-06;0.000934716;4.1665e-06
2x2;27-11-2024;20:27:17;60;869000000;3.70234e-06;0.000850309;4.1026e-06
2x3;27-11-2024;20:29:28;60;869000000;3.76783e-06;4.08574e-06;3.87662e-06
2x3;27-11-2024;20:30:43;60;869000000;3.73897e-06;4.04026e-06;3.82555e-06
2x4;27-11-2024;20:33:15;60;869000000;3.80433e-06;4.111e-06;3.90901e-06
2x4;27-11-2024;20:34:30;60;869000000;3.77198e-06;0.000823159;4.15361e-06
3x0;27-11-2024;20:36:14;60;869000000;4.03663e-06;0.0011655;4.60708e-06
3x0;27-11-2024;20:37:29;60;869000000;4.00296e-06;0.0016006;4.72138e-06
3x1;27-11-2024;20:39:26;60;869000000;3.7867e-06;0.0011792;4.32021e-06
3x1;27-11-2024;20:40:41;60;869000000;3.75925e-06;0.00107018;4.23216e-06
3x2;27-11-2024;20:42:11;60;869000000;3.76024e-06;0.0015025;4.39256e-06
3x2;27-11-2024;20:43:26;60;869000000;3.72598e-06;4.04419e-06;3.81562e-06
3x3;27-11-2024;20:44:47;60;869000000;3.74258e-06;5.03285e-06;3.82776e-06
3x3;27-11-2024;20:46:2;60;869000000;3.72522e-06;0.000296592;3.91836e-06
3x4;27-11-2024;20:48:3;60;869000000;3.82083e-06;0.00133162;4.41171e-06
3x4;27-11-2024;20:49:18;60;869000000;3.79635e-06;0.000724581;4.1475e-06
4x0;27-11-2024;20:51:50;60;869000000;4.09588e-06;0.00256768;5.15665e-06
4x0;27-11-2024;20:53:5;60;869000000;4.00596e-06;0.00213649;4.90688e-06
4x1;27-11-2024;20:55:11;60;869000000;3.8896e-06;4.2546e-06;3.99757e-06
4x1;27-11-2024;20:56:26;60;869000000;3.83412e-06;0.00177341;4.57844e-06
4x2;27-11-2024;20:58:0;60;869000000;3.7427e-06;4.0854e-06;3.83185e-06
4x2;27-11-2024;20:59:15;60;869000000;3.70395e-06;0.00156782;4.36616e-06
4x3;27-11-2024;21:1:24;60;869000000;3.74175e-06;0.000498354;4.02964e-06
4x3;27-11-2024;21:2:39;60;869000000;3.70573e-06;4.03574e-06;3.79166e-06
4x4;27-11-2024;21:4:52;60;869000000;3.79675e-06;0.000570646;4.11611e-06
4x4;27-11-2024;21:6:7;60;869000000;3.77095e-06;0.00105262;4.23669e-06
5x0;27-11-2024;21:7:57;60;869000000;3.80621e-06;1.24536e-05;3.91852e-06
5x0;27-11-2024;21:9:12;60;869000000;3.76784e-06;3.79666e-05;3.87373e-06
5x1;27-11-2024;21:10:43;60;869000000;3.78138e-06;0.000817963;4.18272e-06
5x1;27-11-2024;21:11:58;60;869000000;3.75153e-06;4.19115e-06;3.85824e-06
5x2;27-11-2024;21:13:27;60;869000000;3.8242e-06;4.11162e-06;3.91086e-06
5x2;27-11-2024;21:14:42;60;869000000;3.71303e-06;4.13204e-06;3.89365e-06
5x3;27-11-2024;21:16:45;60;869000000;3.68183e-06;0.000622445;3.99022e-06
5x3;27-11-2024;21:18:0;60;869000000;3.66066e-06;0.00080167;4.02794e-06
5x4;27-11-2024;21:19:44;60;869000000;3.62488e-06;0.000343181;3.84213e-06
5x4;27-11-2024;21:20:59;60;869000000;3.60484e-06;0.000398657;3.82804e-06
6x0;27-11-2024;21:22:54;60;869000000;3.80609e-06;0.00147278;4.44972e-06
6x0;27-11-2024;21:24:9;60;869000000;3.76849e-06;0.000213047;3.93838e-06
6x1;27-11-2024;21:28:29;60;869000000;3.85444e-06;0.00271977;4.95045e-06
6x1;27-11-2024;21:29:44;60;869000000;3.79346e-06;4.19694e-06;3.8938e-06
6x2;27-11-2024;21:31:21;60;869000000;3.75301e-06;4.05386e-06;3.8425e-06
6x2;27-11-2024;21:32:36;60;869000000;3.70186e-06;4.03107e-06;3.7969e-06
6x3;27-11-2024;21:34:13;60;869000000;3.68906e-06;0.000653519;4.01958e-06
6x3;27-11-2024;21:35:28;60;869000000;3.66849e-06;3.97411e-06;3.75533e-06
6x4;27-11-2024;21:37:4;60;869000000;3.6139e-06;3.95974e-06;3.71737e-06
6x4;27-11-2024;21:38:19;60;869000000;3.62497e-06;0.00105162;4.08845e-06
7x0;27-11-2024;21:40:39;60;869000000;4.01488e-06;0.00207928;4.94457e-06
7x0;27-11-2024;21:41:54;60;869000000;3.97799e-06;6.74189e-06;4.14048e-06
7x1;27-11-2024;21:43:21;60;869000000;3.77368e-06;0.00131896;4.38333e-06
7x1;27-11-2024;21:44:36;60;869000000;3.75615e-06;0.00206715;4.62978e-06
7x2;27-11-2024;21:47:50;60;869000000;3.7799e-06;0.00114202;4.29897e-06
7x2;27-11-2024;21:49:5;60;869000000;3.7084e-06;4.11118e-06;3.83351e-06
7x3;27-11-2024;21:51:8;60;869000000;3.75359e-06;4.10183e-06;3.85633e-06
