description;date;time;duration_s;frequnecy;min;max;avg
balkon;16-11-2024;1:30:11;60;433920000;0.000710946;0.00220628;0.000928237
balkon;16-11-2024;1:32:22;60;433920000;0.000633791;0.00170412;0.000906793
balkon;16-11-2024;1:37:48;60;433920000;0.000738308;0.00167932;0.000957723
balkon;16-11-2024;1:39:9;60;433920000;0.000739146;0.00365677;0.000925612
balkon;16-11-2024;1:41:53;60;433920000;0.000697032;0.00176187;0.000897371
balkon;16-11-2024;2:14:52;60;433920000;0.000764858;0.00356657;0.00100958
balkon;16-11-2024;2:16:15;60;433920000;0.000754628;0.00345387;0.000979693
balkon;16-11-2024;2:17:48;60;433920000;0.000667685;0.00165722;0.000965503
balkon;16-11-2024;2:20:53;60;433920000;0.000715971;0.00171306;0.000904433
balkon;16-11-2024;2:23:32;60;433920000;0.000725325;0.00205038;0.000919333
balkon;16-11-2024;2:27:56;60;433920000;0.000632446;0.00312715;0.000871555
balkon;16-11-2024;2:29:3;60;433920000;0.000709621;0.00155504;0.000873179
balkon;16-11-2024;2:30:30;60;433920000;0.000622396;0.00351979;0.000880987
balkon;16-11-2024;2:32:47;60;869000000;7.96598e-06;8.42042e-06;8.14434e-06
balkon;16-11-2024;2:39:22;60;869000000;7.76855e-06;8.48079e-06;8.0877e-06
balkon;16-11-2024;2:41:19;60;40680000;0.0130541;0.17503;0.165931
balkon;16-11-2024;2:43:56;60;40680000;0.0159829;0.1745;0.166083
balkon-1h;16-11-2024;2:48:24;3600;433920000;0.000514751;0.00182523;0.000783342
balkon-1h;16-11-2024;14:8:21;3600;433920000;0.000538675;0.0378355;0.000964355
balkon-1h;16-11-2024;15:14:14;3600;433920000;0.000603702;0.0360403;0.00103579
balkon-1h;16-11-2024;16:39:46;3600;433920000;0.000659566;0.081856;0.00113195
balkon-1h;16-11-2024;18:23:13;3600;433920000;0.000730766;0.0259904;0.00121962
balkon-1h;16-11-2024;23:46:57;3600;433920000;0.00070056;0.0346034;0.000967486
balkon-1h;17-11-2024;0:51:48;60;433920000;0.00079269;0.00213769;0.00101785
balkon-1h;17-11-2024;0:53:6;60;433920000;0.000782467;0.00183598;0.000984354
balkon-1h;17-11-2024;1:2:33;60;433920000;0.000863862;0.00216992;0.0011187
balkon-1h;17-11-2024;1:4:8;60;433920000;0.00088472;0.00201777;0.00108609
balkon-1h;17-11-2024;1:6:23;3600;433920000;0.000591904;0.00189657;0.000895325
balkon-1h;17-11-2024;2:7:21;3600;433920000;0.000529053;0.00186611;0.000824951
balkon-1h;17-11-2024;14:19:24;3600;433920000;0.000527159;0.0253587;0.000970276
balkon-1h;17-11-2024;17:47:15;3600;433920000;0.000557175;0.0309315;0.000918355
balkon-1h;17-11-2024;20:13:9;3600;433920000;0.000751462;0.0320394;0.00116173
balkon-1h;17-11-2024;21:38:20;3600;433920000;0.00051973;0.00850266;0.000990866
balkon-1h;17-11-2024;23:29:30;3600;433920000;0.000513511;0.00446419;0.00081285
balkon-1h;18-11-2024;1:28:45;3600;433920000;0.000507356;0.002465;0.000765745
balkon-1h;18-11-2024;3:25:6;3600;433920000;0.000498434;0.00242665;0.000760852
balkon-1h;18-11-2024;4:26:6;3600;433920000;0.000498434;0.00445753;0.000776217
balkon-1h;18-11-2024;5:27:6;3600;433920000;0.000498434;0.0387141;0.000917605
balkon-1h;18-11-2024;6:28:6;3600;433920000;0.000498434;0.055139;0.000928701
balkon-1h;18-11-2024;7:29:6;3600;433920000;0.000482503;0.055139;0.000908653
balkon-1h;18-11-2024;8:30:6;3600;433920000;0.000482503;0.055139;0.000887806
balkon-1h;18-11-2024;9:31:6;3600;433920000;0.000440488;0.055139;0.000873246
balkon-1h;18-11-2024;10:32:6;3600;433920000;0.000440488;0.055139;0.000877819
balkon-1h;18-11-2024;11:33:7;3600;433920000;0.000440488;0.055139;0.000875803
balkon-1h;18-11-2024;12:34:7;3600;433920000;0.000440488;0.055139;0.0009137
balkon-1h;18-11-2024;13:35:7;3600;433920000;0.000440488;0.055139;0.00115918
balkon-1h;18-11-2024;14:36:7;3600;433920000;0.000440488;0.055139;0.00113179
balkon-1h;18-11-2024;15:37:7;3600;433920000;0.000440488;0.055139;0.00127064
balkon-1h;18-11-2024;16:38:8;3600;433920000;0.000440488;0.055139;0.00140381
