description;date;time;duration_s;frequency;min;max;avg
meiszkanie_869MHz;24-11-2024;13:27:46;60;869000000;4.00172e-06;4.33933e-06;4.10727e-06
meiszkanie_869MHz;24-11-2024;13:29:1;60;869000000;3.91955e-06;4.22242e-06;4.0322e-06
meiszkanie_869MHz;24-11-2024;13:30:16;60;869000000;3.88688e-06;6.23268e-05;4.00047e-06
meiszkanie_869MHz;24-11-2024;13:31:31;60;869000000;3.83576e-06;0.00279402;4.95214e-06
meiszkanie_869MHz;24-11-2024;13:32:46;60;869000000;3.81018e-06;0.000335564;4.01967e-06
meiszkanie_869MHz;24-11-2024;13:34:1;60;869000000;3.78924e-06;0.00196745;4.58911e-06
meiszkanie_869MHz;24-11-2024;13:35:16;60;869000000;3.77028e-06;4.09095e-06;3.85374e-06
meiszkanie_869MHz;24-11-2024;13:36:31;60;869000000;3.75371e-06;4.10969e-06;3.83732e-06
meiszkanie_869MHz;24-11-2024;13:37:46;60;869000000;3.74583e-06;0.00225446;4.64385e-06
meiszkanie_869MHz;24-11-2024;13:39:1;60;869000000;3.72657e-06;4.05735e-06;3.81376e-06
meiszkanie_869MHz;24-11-2024;13:40:16;60;869000000;3.71553e-06;0.00242992;4.68525e-06
meiszkanie_869MHz;24-11-2024;13:41:31;60;869000000;3.70811e-06;3.6311e-05;3.80337e-06
meiszkanie_869MHz;24-11-2024;13:42:46;60;869000000;3.70936e-06;4.01772e-06;3.78771e-06
meiszkanie_869MHz;24-11-2024;13:44:1;60;869000000;3.70212e-06;4.03278e-06;3.78046e-06
meiszkanie_869MHz;24-11-2024;13:45:16;60;869000000;3.70499e-06;4.03879e-06;3.78231e-06
meiszkanie_869MHz;24-11-2024;13:46:31;60;869000000;3.69387e-06;0.00298022;4.85918e-06
meiszkanie_869MHz;24-11-2024;13:47:46;60;869000000;3.69193e-06;0.00269105;4.75005e-06
meiszkanie_869MHz;24-11-2024;13:49:1;60;869000000;3.69007e-06;0.00148631;4.30748e-06
meiszkanie_869MHz;24-11-2024;13:50:16;60;869000000;3.69518e-06;4.02598e-06;3.76906e-06
meiszkanie_869MHz;24-11-2024;13:51:31;60;869000000;3.69377e-06;3.99874e-06;3.76783e-06
meiszkanie_869MHz;24-11-2024;13:52:46;60;869000000;3.69682e-06;4.00559e-06;3.76504e-06
meiszkanie_869MHz;24-11-2024;13:54:1;60;869000000;3.68916e-06;4.02986e-06;3.76847e-06
meiszkanie_869MHz;24-11-2024;13:55:16;60;869000000;3.68826e-06;0.00201704;4.49497e-06
meiszkanie_869MHz;24-11-2024;13:56:31;60;869000000;3.68032e-06;4.04181e-06;3.75932e-06
